F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
1,1,147,-2.65,0.18,1.14,1.75,0.2,34,37,-0.16,-0.65,1.71,19,-1.97,0.64,1.44,0.24,12.5,NaN,True
1,0,6,-0.02,0.33,0.12,2.78,-1.5,48,1,2.04,0.04,0.28,20,0.77,-1.35,-0.35,1.64,10.1,NaN,False
0,1,47,1.67,0.56,-1.41,0.63,0.04,36,24,0.21,0.96,0.05,-8,-0.23,-1.29,-0.52,1.1,5.5,-1.93,False
1,0,37,3.04,-0.24,-0.43,2.08,-0.32,28,-13,0.63,0.4,1.02,4,-0.72,3.82,1.43,1.2,14.9,-1.71,True
0,0,7,-1.78,1.18,-0.22,1.38,0.28,89,10,1.14,-0.39,0.42,4,0.2,-1.15,-0.59,-0.84,6.6,-1.89,False
1,1,131,1.27,-0.69,-1.63,-0.95,0.73,102,23,-1.12,-0.6,2.54,-5,-0.4,-1.18,-0.29,1.16,6.2,NaN,False
1,0,34,-0.94,-0.64,0.51,0.36,-0.28,29,-1,-0.66,-0.47,0.12,3,0.18,1.78,0.53,-0.03,1.8,0.51,False
1,0,86,1.04,-0.18,0.54,0.29,-1,33,11,-0.15,-0.12,1.27,-21,2.25,1.91,-0.24,-0.17,2.5,-0.81,False
1,1,22,0.19,-1.15,-0.04,1.36,-2.04,25,2,-0.98,-1.84,1.2,-1,2.19,-2.1,-0.81,0.46,8.4,3.93,True
1,1,111,-0.93,-0.29,0.26,1.23,-2.27,25,18,0.08,1.58,2.08,14,1.12,1.12,0.45,-0.31,8.7,NaN,True
1,0,102,0.34,1.83,-0.31,2.97,0.68,27,17,0.17,-1.39,0.01,4,1.12,2.37,1.77,-0.51,13.8,4.39,True
1,1,104,2.74,-1.34,1.48,4.51,1.08,58,-15,1.41,-0.88,0.89,-5,-0.77,-0.13,-0.21,1.91,33,-0.27,False
1,0,62,-2.11,0.25,0,3.65,-0.69,54,3,2.1,0.36,0.1,9,-0.14,2.4,-0.56,0.86,18.3,0.15,False
0,0,110,1.38,-0.36,-0.72,-0.32,1.35,19,24,-1.02,0.63,0.44,6,1.08,2.45,0.15,1.16,5.5,NaN,True
1,1,187,-1.06,-0.79,1.67,-1.54,-0.57,22,11,-1.59,1.5,1.59,-2,-0.24,-1.08,-0.02,0.46,7.2,0.25,False
0,0,22,1.48,-0.63,-1.42,1.85,-0.6,6,-5,0.16,-1.07,0.51,-20,0.47,1.18,-0.27,1.2,9.4,NaN,True
1,0,26,3.51,-0.23,-1.34,2.33,0.3,42,2,0.74,-0.68,0.83,-10,1.89,4.69,1,-0.51,19.7,NaN,False
1,0,149,-1.91,-1.52,-0.63,2.03,-0.64,11,-4,-0.16,0.5,0.64,-3,0.49,2.06,0.05,-1.82,11.9,NaN,True
0,1,61,2.66,-1.42,-0.2,1.95,-0.58,11,14,0.76,0.87,1.52,2,-0.93,3.29,-0.4,-0.15,14.3,NaN,True
1,0,236,-0.02,-1.16,0.02,2.97,-0.33,40,24,0.63,-0.62,1.42,21,2.52,-0.34,0.12,-1.46,11.3,1.25,True
1,1,136,-1.56,0.06,-1.28,1.36,-0.28,7,17,1.13,-0.37,0,1,-0.33,-0.81,0.23,-1.06,6,NaN,False
1,0,69,1.5,-0.88,-0.23,2.99,-0.14,8,34,1.15,-2,0.79,-5,-0.04,0.1,0.47,0.09,12,-0.07,False
1,0,70,-0.76,-0.43,3.22,-0.96,1.69,33,16,-1.48,-0.29,0.31,-7,-0.59,1.72,0.48,-0.61,15.9,0.57,True
0,0,46,1.13,-0.03,-0.09,1.96,1,63,0,0.57,0.37,1.02,13,0.44,-0.31,0.43,-0.27,7.1,-2.33,True
1,1,211,0.87,0.98,-1.29,2.89,-0.54,60,-28,1.16,1.14,1.96,12,-1.54,1.13,-1.06,-0.31,12,-0.25,False
0,0,132,0.9,0.12,0.22,0.4,-0.79,10,-6,-0.36,0.85,0.97,-18,-1.21,-1.74,-1.63,-2.1,1.7,-0.01,False
0,1,101,1.3,0.94,1.58,0.63,-0.84,20,15,-0.6,0.33,1.7,-1,-1.52,1.99,1.44,0.45,7.2,0.09,True
1,0,163,0.81,1.96,1.92,1.28,-0.35,0,-1,-0.37,0.35,1.01,-12,-0.03,-1.33,-0.75,-1.5,9.9,1.03,False
1,0,68,0.78,-0.54,1.62,-0.09,1,59,21,-0.85,0.57,0.17,5,-0.31,-0.64,-0.46,-1.62,4.5,NaN,False
0,1,83,-0.27,1.27,-2.21,0.85,0.24,81,5,0.07,-1.37,1,-4,-1.63,1.31,0.25,-0.73,8.4,NaN,True
1,0,15,-1.13,-0.43,-0.56,2.9,-1.58,33,-16,2.47,-0.25,0.79,3,0.12,2.46,1.08,0.03,13.7,-0.57,True
1,0,149,-0.7,-0.92,0.49,1.78,1.85,37,7,-0.03,-0.95,0.24,0,1.13,3.37,-0.79,0.2,9.2,1.23,True
1,1,20,1.29,-0.18,-0.08,-0.27,0.38,1,21,-0.33,-1.27,0.88,7,-1,2.58,1.07,1.16,2.9,0.03,True
1,1,47,1.79,1.9,0.51,3.4,0.08,32,-4,1.02,-0.69,1.68,-23,-0.55,2.36,0.45,-0.18,18.6,NaN,False
1,1,54,-1.53,1.01,-0.4,2.08,0.06,28,1,1.24,1.38,1.71,11,0.64,1.34,-0.7,0.67,8.9,NaN,True
0,0,28,-1.8,-1.54,-0.31,2.38,2.15,24,23,1.3,0.64,0.14,-22,-0.33,1.54,0.87,-1.75,16,1.59,False
0,1,35,-3.34,-1.56,0.22,0.1,0.56,2,25,-0.91,1.2,1.38,-4,0.02,0.53,-0.5,-0.22,14,0.71,False
0,0,161,1.02,1.24,0.89,-0.22,0.9,70,14,-1.13,-0.21,0.38,12,0.16,0.27,-0.12,-0.74,5.2,NaN,True
1,1,103,0.87,1.09,-0.01,-0.1,-0.66,16,-34,-1.59,-0.99,0.39,-7,1.12,-0.93,-1.48,-0.38,2.4,0.57,False
1,1,97,-0.63,0.18,-0.27,1.5,-0.39,62,23,0.98,-2.89,1.2,7,-0.05,1.88,-1.29,1.55,3.9,-0.33,True
1,0,246,-0.11,-0.52,-0.86,0.19,1.63,18,38,-1.06,-1.17,1.26,-37,-2.6,-0.18,-0.3,0.7,4.7,2.97,True
1,1,299,-0.68,-0.43,-0.09,1.13,1.32,53,4,0.16,0.91,1.57,-6,0.93,1.87,1.38,-1.36,3.7,NaN,False
1,1,8,-1.46,0.79,-0.64,0.83,1.13,46,37,0.22,0.84,0.02,-4,0.67,0.81,0.74,-0.82,5.1,NaN,False
0,0,28,-2.24,-0.29,1.99,-0.57,-1.35,94,-37,-0.92,-0.76,0.79,-2,-0.92,0.3,0.21,-0.52,12.2,NaN,True
0,0,10,2.17,1.57,2.1,-0.34,0.36,33,23,-2.29,-0.32,0.79,-8,1.58,-0.02,0.47,-1.16,11.8,NaN,False
1,0,37,0.05,-1.76,0.05,1.88,0.52,18,3,1.35,-0.77,0.34,25,0.24,-2.08,-0.59,1.01,6.9,NaN,False
0,0,108,-0.26,-1.07,0.38,1.66,0.66,50,2,-0.17,-0.18,0.97,-7,-1.24,-1.5,-1.48,-1.34,4.5,NaN,False
1,1,26,-0.62,2.11,-0.74,1.22,0.91,61,19,0.94,-1.37,1.77,13,-1.23,0.14,0.97,1.49,8.7,-0.13,True
1,0,64,-1.29,0.16,1.06,-0.29,0.64,97,-35,-1.73,1.06,0.36,16,0.64,-1.63,-0.82,0.22,3.3,NaN,False
1,0,146,1.82,-1.8,0.34,-0.05,1.17,0,27,-0.53,1.63,1.33,-27,-0.71,0.93,0.46,-0.5,9,0.59,True
1,1,43,-2.65,0,0.23,3.33,-0.55,27,23,1.54,-0.55,0.43,-5,-0.76,-1.83,0.76,-0.07,18.5,1.53,False
0,1,122,-1.91,-1.34,-0.3,0.39,-1.32,54,6,-0.9,0.99,1.78,18,-1.63,-1.03,-1.78,-0.22,8.4,-0.07,True
0,1,196,2.16,1.38,-0.21,2.67,0.73,55,4,0.8,0,0.77,-13,1.1,-2.46,0.9,0.19,15.3,-0.79,True
1,1,3,-1.42,1.39,0.42,1.08,0.41,40,-1,0.24,0.57,0.49,22,0.94,0.48,0.09,-1.4,5.5,-0.69,False
1,0,108,-1.81,-0.3,-0.63,-0.52,1.91,9,-6,-0.95,-0.98,1.32,5,-2.2,-1.67,-1.49,-1.51,7.7,-0.07,False
0,0,40,0.21,-1.29,1.8,0.71,-2.47,4,25,-0.87,-0.32,2.22,21,-0.73,0.78,-0.42,1.52,11.6,-1.49,False
1,1,243,-2.69,0.28,-0.41,4.38,0.84,49,-10,1.35,0.41,0.46,9,0.76,-0.45,-1.33,0.22,28.4,NaN,True
1,1,145,-0.08,0.79,-1.04,2,-1.08,58,10,0.62,-0.87,2.03,13,0.73,1.8,-0.45,-0.3,6.9,-1.75,False
1,1,23,1.28,1.32,0.87,0.25,-1.38,13,-17,-1.07,-0.2,0.63,3,0.12,0.61,-0.21,0.06,7.1,NaN,True
0,0,39,-0.07,0.16,-0.6,0.79,0.29,20,39,-0.02,-1.06,1.31,-10,0.82,2.24,0.28,0.63,1.1,0.17,False
1,0,196,-0.62,-1.83,-1.2,3.86,-0.13,16,3,1.74,-0.76,0.05,-24,0.59,0.5,0.85,-0.55,21.1,NaN,True
0,0,110,-1.72,-1.05,0.4,1.48,-0.6,4,-20,0.79,1.23,1.31,-5,-0.36,0.79,-1.25,-0.56,6.8,1.21,False
1,0,22,1.82,-0.87,1.83,1.78,-0.35,55,-12,1.53,0.52,4,7,-0.31,1.25,0.44,0.41,11.7,-2.15,True
1,0,72,3.03,-0.43,-0.97,0.11,0.86,56,-4,-0.18,0.31,0.44,4,-0.25,-0.17,0.76,-1.29,11.1,-4.13,False
0,0,28,-1.79,0.45,1.4,2.25,-1.49,34,19,1.58,1.09,0.24,4,0.96,0.47,0.17,-0.99,12.6,NaN,False
0,1,137,-1.79,0.88,1.52,-0.33,-0.53,27,-10,-1.46,2.61,1.88,-7,-0.55,2.95,0.25,0.73,6.7,NaN,False
0,0,93,1.03,-0.18,-0.13,4.07,1.18,9,23,2.53,0.4,1.47,-8,-1.82,2.94,-0.49,0.73,19.1,0.01,False
1,1,57,0.15,-0.82,-0.33,-1.58,-0.33,4,10,-1.98,-0.8,1.15,-3,1.45,0.15,-1.02,-0.48,3.4,NaN,False
0,0,19,1.57,0.37,0.84,4.83,-0.06,17,34,2.41,0.64,1.84,0,-0.07,2.27,0.33,1.34,26.6,0.37,False
1,1,78,1.06,0.91,0.39,1.81,-1.83,48,-3,-0.07,-0.27,0.68,3,1.21,0.44,-0.73,-1.93,8.7,-0.61,False
0,0,176,0.34,-0.61,-0.42,2.27,-0.21,37,25,1.36,-0.42,1.39,19,1.32,2.89,1.37,1.93,5.9,-2.89,False
1,1,16,-1.05,0.07,-0.33,0.48,1.24,60,-17,-0.56,0.84,1.32,-18,-0.83,-4.08,-2.16,-1.99,4,1.27,True
1,0,141,-2.17,0.06,-0.83,2.69,-0.19,6,40,0.73,0.38,1.55,17,-0.08,2.21,0.64,-1,12.7,-0.13,False
1,1,174,-1.7,1.03,0.12,2.52,0.11,36,-4,0.35,0.04,0.27,-2,-1.29,3.19,0.57,0.47,11.3,2.73,True
1,1,150,-2.27,-1.27,0.44,1.78,-0.31,16,38,0.78,1.06,1.2,16,0.72,1.31,-0.76,-1.73,11.2,1.41,True
1,1,107,0.63,-1.35,1.33,1.08,1.14,47,-3,0.54,1.4,0.74,-4,-0.41,-1.67,-0.61,-0.15,6.5,-0.73,False
1,1,98,0.05,0.02,0.31,2.65,-3.23,44,32,1.33,-1.98,0.48,34,-0.83,0.61,-0.33,0.75,18.6,-1.95,True
0,0,316,-0.38,0.85,1.67,2.89,0.3,49,2,1.84,-1.32,0.14,-2,-1.19,-0.39,0.48,-0.29,13.1,NaN,True
1,0,19,0.32,0.54,0.06,1.2,-0.14,2,25,0.7,0.11,0.36,-28,-0.33,1.36,0.61,0.13,1.9,-0.35,False
1,0,20,-0.05,0.36,1.6,0.57,1.31,17,29,-1.71,1.03,0.49,-6,-1.47,-0.76,-1.17,-1.24,5.7,NaN,True
1,1,230,1.59,-1.25,0.25,1.87,-0.02,26,-3,1.4,-0.61,0.24,16,0.83,-0.31,-0.2,-1.01,8.7,NaN,True
1,0,39,0.96,-0.22,-0.31,1.14,-0.84,3,6,-1.27,0.61,0.25,29,-0.73,-0.37,-0.44,1.48,3.1,-0.43,False
1,0,41,1.3,-1.53,1.61,1.15,-0.74,93,-6,0.21,0.25,0.83,-21,0.52,-1.04,-0.79,-0.54,8.5,NaN,False
0,1,12,2.26,0.16,-0.84,-0.15,-0.48,68,-6,-0.49,-0.28,2.1,-6,1.2,-1.07,0.26,0.33,7.1,NaN,True
1,1,51,-0.63,-0.29,2.04,0.37,-0.36,27,-9,0.35,-0.09,0.67,-16,0.46,-0.33,0.18,-0.82,4.9,-0.17,False
0,0,3,-0.46,-0.13,2.31,4.03,0.14,45,30,2.12,-0.87,0.01,-23,0.06,-1.25,-1.43,-1.9,21.8,0.71,False
0,0,87,-4.15,-0.82,0.55,3.45,-0.86,55,-32,-0.13,1.18,1.09,-23,-1.17,1.79,1.08,-0.73,31.8,6.13,True
0,1,108,-0.24,0.22,0.43,0.68,0.95,52,-17,-1.01,0.02,2.03,-1,-0.3,-0.13,-0.22,-0.07,2.7,0.67,True
0,1,35,-0.89,1.64,-0.29,2.19,-0.44,49,24,0.81,1.91,0.77,-25,1.71,2.16,0.12,-1.11,8.6,0.61,False
0,0,22,2.06,1.98,-1.21,1.56,0.43,36,12,0.59,0.45,2.3,9,-0.15,2.53,1.69,0.54,13.2,-1.35,True
1,0,167,-3.98,-1.17,0.03,-2.33,-1.09,26,8,-3.47,-0.32,0.16,-14,-1.08,-1.39,-0.57,-0.84,23.8,0.59,False
1,1,181,0.93,2.09,0.39,0.75,-0.38,18,8,0.04,-0.76,0.18,-12,-0.27,-0.37,1.78,-0.96,7.1,0.67,True
1,1,98,0.47,-0.2,0.14,2.05,-1.04,32,5,0.63,-0.33,1.85,-1,-0.49,0.02,-0.01,0.54,5.6,NaN,False
1,1,27,-3.13,-0.7,-1.09,-0.3,-1.41,27,2,-0.54,-0.31,0.68,-9,1.51,-0.1,-0.2,0.38,13.6,0.91,False
1,1,176,1.53,-0.79,0.06,1.34,-0.86,55,11,1.34,0.68,0.28,21,0.21,-0.87,-1.04,-1.09,5.5,-3.49,False
0,0,83,0.06,1.28,1.29,2.79,0.32,3,15,0.82,-1.01,1.4,9,-1.38,2.21,0.2,0.94,11.2,NaN,False
1,0,21,2.81,0.22,0.32,0.33,0.78,15,8,0.22,0.51,0.41,-2,-0.46,0.69,-0.84,0.1,9.8,NaN,True
1,1,48,-1.24,-0.98,-0.7,1.64,-1,47,-20,-0.2,-0.42,0.52,-2,-0.11,1.76,1.09,1.43,6.7,1.13,False
1,1,57,0.99,1.42,0.25,2.33,2.15,87,24,-0.39,-0.6,1.24,-3,-0.31,-2.9,-1.12,1.12,13.1,NaN,False
1,1,66,-1.49,-0.85,-0.87,-0.64,-0.04,79,33,-0.88,-0.66,0.11,18,0.61,1.9,0.6,0.32,5.1,-1.95,True
1,1,10,3.41,0.26,1.25,0.38,-0.26,64,4,-0.07,0.38,0.64,19,1.2,0.24,-0.07,-1.29,14.5,-5.33,True
1,0,106,1.05,1.04,0.3,2.88,0.22,23,4,2.32,1.32,0.13,3,-0.32,-0.71,0.22,-0.61,10.6,-0.89,False
1,1,124,2.3,-0.19,0.05,2.97,-1.06,77,10,-0.68,0.46,0.26,-20,-0.21,1.05,-2.42,-1.11,16.3,2.41,True
1,0,30,1.9,0.16,-1.65,2.35,-1.1,0,-22,0.42,0.61,0.26,6,1.78,2.57,0.51,1.46,14.1,0.39,True
1,0,109,1.27,-0.7,0.89,1.91,-0.08,37,24,0,-0.17,2,2,0.21,-0.2,-0.81,1.1,6.5,NaN,False
1,1,20,-1.26,0.83,0.52,2.79,0.92,30,-2,-0.13,0.4,1.45,2,0.49,0.51,-0.78,-0.68,12.2,NaN,True
0,1,4,0.65,-0.45,0.75,3.05,0.38,15,-12,1.06,-1.6,0.28,11,-1.08,1.9,0.61,0.28,10.6,1.07,False
0,1,29,2.73,-0.43,-0.74,-0.12,0.38,85,-21,-1.1,-0.64,0.49,13,-0.38,1.25,0.74,-0.04,9.3,NaN,True
1,0,34,0.88,0.32,-0.28,1.49,-0.08,7,4,-0.34,0.41,0.57,-14,-1,1.73,0.49,0.68,3.2,1.47,False
1,0,210,-1.6,-0.2,-0.49,2.23,0.01,40,-20,0.33,-0.78,1.36,21,1.27,-0.57,-0.49,-1.1,7.8,NaN,False
1,1,48,-0.6,0.06,-0.49,1.85,0.99,5,14,-1.74,0.83,0.06,-18,2.39,0.6,1.78,-1.26,5,5.53,False
1,1,291,-0.1,0.21,-0.92,1,-1.35,69,31,-1.57,-0.04,1.86,15,0.5,1.95,1.59,0.43,4.7,2.37,True
1,0,44,-0.37,1.26,0.88,0.12,-1.04,6,18,-0.18,-0.4,0.95,6,-0.39,0.81,-1.44,-0.79,3.6,-0.65,False
1,0,88,-0.64,-0.39,1.53,-0.67,0.16,69,-7,-0.76,-0.29,0.26,16,0.84,-0.14,-0.23,-0.45,4.4,-1.99,True
1,1,102,-1.98,-1.32,1.07,1.83,0.91,43,4,1.54,0.12,1.14,-8,1.2,0.38,-2.78,-1.91,11,0.51,False
0,0,7,-0.37,-0.89,1.63,-0.31,2.4,58,-5,-0.99,1.27,1.3,6,-0.38,-2.11,-0.98,-0.29,10.4,-0.17,True
1,1,51,1.11,1.14,-0.58,0.77,-1.36,7,45,-0.88,-1.08,0.26,-7,-0.26,1.35,-0.74,-1.28,5.3,0.67,False
1,1,69,-0.26,0.52,-2.45,2.09,-0.98,7,-3,1.29,-0.53,0.31,10,1.65,-0.35,-0.09,1.41,11.7,-0.33,False
1,1,100,0.42,-0.96,0.2,0.76,0.81,32,-17,-0.46,1.08,2.27,-11,1.88,0.44,0.16,-1.41,3.4,0.91,True
1,1,206,2.72,-1.09,-0.12,4.19,-0.44,43,22,1.45,-0.95,0.65,-13,0.13,3.08,-2.05,-0.84,27.4,1.55,True
1,0,49,1.07,1.57,0.01,2.92,1.14,43,-13,1.33,-0.61,0.85,-15,1.03,-0.34,0.03,0.19,14.4,0.65,True
0,1,35,2.09,0.52,0.26,1.55,0.66,15,-7,0.67,-3.57,0.23,-22,1.55,-1.09,-1.49,-2.01,8.5,0.93,True
1,1,22,-0.75,1.89,-0.05,0.34,0.57,60,-10,0.28,1.06,0.29,-14,-0.11,-0.9,-0.52,-1.45,4.6,-0.81,False
1,1,191,-0.01,0.06,-1.97,2.47,1.11,86,-2,-0.31,-0.53,1.55,0,-0.75,0.99,1.74,-1.61,11.2,0.99,False
0,1,151,-0.33,0.96,-2.84,3.53,-0.18,33,2,-0.01,-1.34,0.92,-6,0.28,0.95,0.23,-0.09,21.6,4.97,False
0,1,231,-2.77,-0.18,-0.94,2.18,-0.34,32,3,0.06,-0.26,1.36,-3,-0.17,1.01,-1.87,-0.47,13.5,NaN,False
1,1,85,2.07,0.08,1.93,-0.87,0.42,101,6,-1.06,-0.85,2.61,3,0.95,-0.83,-0.68,-0.44,9.9,NaN,True
0,1,12,-0.01,1.63,0.26,1.78,-0.6,17,-12,0.62,0.76,0.43,18,0.32,-2.46,-1.34,-1.39,7.3,0.51,True
1,0,64,-0.67,1.15,-1.39,1.3,0.25,39,23,1.19,-0.69,0.6,-23,-0.16,2.72,0.46,-0.07,5.5,-0.17,False
1,1,138,1.36,0.4,1.05,4,0.87,36,16,0.27,-0.93,0.7,23,0.23,-1.24,-0.65,1.26,20.9,2.87,True
0,0,102,2.06,0.09,0.84,3.63,1.22,57,-2,-0.32,-0.38,0.56,-6,-0.08,-1.29,-0.03,0.47,19.6,1.83,False
1,0,211,0.18,1.71,0.3,1.22,1.16,47,-49,-0.21,-0.77,0.78,7,-0.27,-0.45,-0.89,0,5.9,-1.03,False
1,0,94,-0.86,1.06,0.66,1.25,1.25,23,5,-0.1,0.68,0.11,-8,0.42,1.58,-0.79,-1.2,6.4,NaN,True
1,1,104,0.23,1.72,-1.41,3.46,0.54,31,-19,0.92,-0.77,1.84,-13,1.37,-1.56,0.11,-0.01,18.3,3.65,True
